field_id,crop_class,area_ha,date,image_id,cloudy_pixel_percentage,NDVI,NDWI
1800,Grass,1.02895356281465,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7448421011834505,-0.6791563002696053
1801,Grass,1.26899687378194,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6003026243754424,-0.5872985403381243
1802,Potato,5.498077242163516,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.4804189773930833,-0.48123135166096387
1803,Grass,2.635474347970594,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6685311441665841,-0.6318200439067836
1804,Grass,0.7799277543330949,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7447164726415448,-0.686745703644582
1805,Grass,0.5401674744463356,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7626104187423925,-0.6926465585609469
1806,Potato,2.8079917227932096,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2622369214815281,-0.36349652939132276
1807,Potato,2.2084798344668166,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.25744331488285505,-0.35020838117454156
1808,Grass,0.5117099277699391,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7392999075371861,-0.6797564160651145
1809,Potato,1.7083307541969877,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3060039347572616,-0.4570806579562935
1810,Maize,1.0199863727397682,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.34551953939881996,-0.4253795609711275
1811,Maize,7.210441477606887,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.30360457388130224,-0.392098415022082
1812,Maize,7.624794609480169,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29310817514572884,-0.38675808517046617
1813,Potato,5.4962226391473115,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3061051882963644,-0.3740220177911312
1814,Potato,5.675485732386789,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.27170197028463444,-0.3997823665884583
1815,Grass,1.1607468071537062,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7086413955789762,-0.6795456331310205
1816,Maize,1.6888685518166349,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7505253935731854,-0.6744955875777566
1817,Grass,3.2269494322522903,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8289821793308009,-0.7446863881116335
1818,Maize,5.397196517280636,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3378576511903041,-0.442643196742159
1819,Grass,8.020255449529003,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8760760334113036,-0.7883590722049152
1820,Potato,4.215383153209991,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6078366367238915,-0.5398963626367974
1821,Grass,0.7049417993384595,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.72470612565889,-0.6271812746998056
1822,Grass,2.5474892485947733,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7522587750070606,-0.6893284989966465
1823,Maize,2.8762304598261887,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7087571659966806,-0.6437182382909391
1824,Maize,3.00435392761195,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7931966184341884,-0.6987609351104261
1825,Potato,4.943663954567923,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.21571584575005012,-0.2899778736093496
1826,Maize,0.5325842479258627,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31902311711872416,-0.43942819405988603
1827,Maize,1.2296587610084484,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.47301767747329276,-0.5127514579383085
1828,Maize,1.4511491657854199,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2838351763363519,-0.3978001264116982
1829,Grass,3.40222283778337,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6783798697142409,-0.6519365758082506
1830,Sugar beet,2.4043556398426067,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.24519015839955954,-0.3751479581127033
1831,Grass,1.4568291338158055,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.45626426074616827,-0.44948089252502427
1832,Sugar beet,1.5128783422611312,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2639495129330483,-0.3870932840928798
1833,Sugar beet,1.2963961871269867,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29540792872470567,-0.3643418973300068
1834,Maize,1.8112440259584626,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2982640564867245,-0.3813533460846492
1835,Potato,2.9310400668745276,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3395483039499103,-0.47193499808548894
1836,Grass,2.787701272873852,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7778479765555353,-0.7155220262891125
1837,Sugar beet,1.652323074331864,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2363267040673959,-0.3681371689357397
1838,Sugar beet,1.1886378082912477,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2358613592994129,-0.3603406568085529
1839,Grass,1.0383640109605634,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7673659134672247,-0.6902247128274804
1840,Potato,2.8046145001500054,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2703334281513319,-0.35707506784178006
1841,Sugar beet,11.967422266414232,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2716927972458706,-0.37453611036478635
1842,Grass,0.7347540324405722,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8430562619903055,-0.7584060363240456
1843,Sugar beet,5.102137468599764,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.30845591131394795,-0.3762718303612626
1844,Potato,2.7382055072216946,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.26719505880580197,-0.30279510777809615
1845,Sugar beet,4.690335936199079,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2392454451610892,-0.37694530765241974
