field_id,crop_class,area_ha,date,image_id,cloudy_pixel_percentage,NDVI,NDWI
2700,Grass,3.5428722774055466,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.873851367403533,-0.7952195256194841
2701,Maize,2.492471344251467,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31775944962124636,-0.40758380764802676
2702,Sugar beet,1.579625221489944,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.77921921156951,-0.6760659151381297
2703,Grass,1.619427326058355,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7727749045672405,-0.6946584946098832
2704,Maize,2.4804258948326865,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.9000462732584145,-0.8154929591022372
2705,Grass,0.9028149657905433,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6006886202477474,-0.610763953774178
2706,Barley,0.8855702260722099,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.5868217149283617,-0.589083203233109
2707,Barley,3.7614880122383294,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7302534041105603,-0.6661550391515196
2708,Maize,0.9436274770853179,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.33917246461279327,-0.40115756545521253
2709,Grass,0.5827611680836638,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8373188033203677,-0.7495506706674513
2710,Potato,2.731461408942529,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3140864166321684,-0.43136822526406726
2711,Grass,0.6487370744095563,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7515730224364839,-0.7030941111422627
2712,Onion,5.958953797404883,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.32707135738426424,-0.4938148014889617
2713,Onion,3.446549835593158,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.19061131892374872,-0.278721295596424
2714,Grass,3.0615350232619494,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8515544329068679,-0.7725277975937367
2715,Grass,1.1431371941052904,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.32174915262096976,-0.4033948886178816
2716,Potato,1.1124401121831933,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.23479097553985076,-0.3716858845327502
