field_id,crop_class,area_ha,date,image_id,cloudy_pixel_percentage,NDVI,NDWI
0,Grass,0.7661808387497274,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8147649395174922,-0.7395440133865655
1,Barley,4.536243592946402,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.4087445553527641,-0.4617411082061911
2,Potato,2.1307931646559517,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.37292415521253297,-0.4582760106302937
3,Maize,0.8999900086076177,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29925439100321954,-0.3885421496898221
4,Onion,3.651976578173849,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31479760167506277,-0.36550772661707487
5,Onion,13.232703413127158,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2790020680479018,-0.37901988802383263
6,Onion,6.871903996566101,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.28767889773007677,-0.38767825465881267
7,Maize,2.458973266749825,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.5188337066217072,-0.5108561864092612
8,Maize,5.482668474590242,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8772314289369544,-0.7840460309516676
9,Grass,6.5964373668187735,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8460678917599624,-0.7657838460295636
10,Maize,1.6638157496046926,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2500400540276207,-0.36813006735355014
11,Maize,2.0185326550546008,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.564037383979185,-0.5560337296363687
12,Potato,7.969026922672824,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6553550215145995,-0.6564021918457401
13,Potato,3.7050648283705487,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2608585255093534,-0.3481797722372808
14,Maize,2.8795998352145573,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3309446433300486,-0.4638138642538404
15,Potato,1.7992986610721005,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8586846939628855,-0.7629319089672064
16,Potato,1.6383065036661593,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.548957128486482,-0.5470238916817964
17,Potato,2.533194097380639,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3867857856482063,-0.4996179644210903
18,Maize,4.569993577861392,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2971254271666043,-0.40096367056624027
19,Potato,1.5391667749859217,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.28193691094685697,-0.370261955149826
20,Maize,3.190162969989841,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3603788056181672,-0.4159805364619496
21,Maize,0.5689035961603583,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.2787171233019678,-0.41726414955868285
