field_id,crop_class,area_ha,date,image_id,cloudy_pixel_percentage,NDVI,NDWI
2000,Grass,3.283499712312022,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.848050005492329,-0.759959272115848
2001,Grass,0.7579704604946698,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6713374994945099,-0.6280377114349798
2002,Grass,1.0720638316737796,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8203514684830018,-0.7323349654137467
2003,Grass,0.7845966062243366,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8356176596796846,-0.7442351159872247
2004,Grass,3.095215446550559,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.5092187037076017,-0.5030963061807655
2005,Grass,2.785069767583647,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.9016349249250217,-0.8154334428101012
2006,Grass,3.1465018159542844,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7729513529650198,-0.7203801175862921
2007,Sugar beet,5.422958471896116,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.27659796126466024,-0.4016993511696159
2008,Potato,2.468308226929545,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.34792114966201154,-0.4014626887210547
2009,Sugar beet,1.5478692661848656,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.33183302538851306,-0.45378663391127844
2010,Grass,0.5753208414671862,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3615634590036226,-0.352433107181382
2011,Potato,1.64951753459142,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3322893092765598,-0.45091181606027264
2012,Wheat,5.4617243242274425,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.5813447553452754,-0.5719642277283418
2013,Potato,2.810032175092998,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3244994920829901,-0.40931760897434816
2014,Grass,0.6188359545425789,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7093031485737892,-0.6672417082298348
2015,Potato,3.6400346579250313,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.281241463064081,-0.3514172497360579
2016,Grass,1.3207647898693704,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.4866603227398013,-0.41442431589786166
2017,Sugar beet,3.128692191736041,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3311592335697911,-0.4730118092558497
2018,Sugar beet,4.536303694392115,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,,
2019,Maize,1.1275869388905992,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6667452386246395,-0.5073529289838727
2020,Grass,0.9609637006640789,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.8190633147466041,-0.7447966457335531
2021,Potato,3.644883361214288,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3091473506016219,-0.45105097162826885
2022,Potato,2.1190202685072435,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.28541146393771966,-0.40124671564861963
2023,Maize,3.1084380777455363,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31042730011162883,-0.3974860164928468
2024,Sugar beet,1.7276061986816995,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.25784688544447665,-0.38569285856643226
2025,Grass,1.394283287818669,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7019530352457114,-0.6430021378960579
2026,Potato,1.7611201683448907,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.24038884567836905,-0.3532962190991297
2027,Potato,2.0593063348041443,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.25315738565224566,-0.35995374915422257
2028,Maize,0.9960677963748411,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.6501403600786646,-0.6368094263453022
2029,Maize,0.5146734511341644,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.47015270595529524,-0.49868589554794923
2030,Potato,1.1466452216766694,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.47349142044021664,-0.4832471253858021
2031,Potato,0.596098211262139,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.32912692688637,-0.4313587657252744
2032,Sugar beet,6.286960416665698,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31710589678662415,-0.4787756693069253
2033,Potato,9.219994187195775,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.31028506366964065,-0.4002629841406501
2034,Potato,3.159653451201943,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.3590153666307468,-0.46464632280416446
2035,Wheat,0.8161112259648815,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.779336910669503,-0.6987766411616039
2036,Sugar beet,4.047141791740593,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.24646918216346073,-0.3494657953304054
2037,Grass,1.1263614318157422,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.5225201756803501,-0.5617552052543885
2038,Grass,1.0320283641892514,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.7821306540276214,-0.7170675393816992
2039,Potato,1.634904973449631,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29203027356019323,-0.41872863356382445
2040,Potato,2.235886236410972,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29671876694036126,-0.39797066427446004
2041,Sugar beet,1.4573275143388835,2025-04-01,20250401T104041_20250401T104123_T31UFT,5.127916,0.29403070087940764,-0.38759936252994687
